"ITEM","Item","BANK","Bank","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"IN01TE","1. Interest income","ALL","All banks","AUT","Austria","1999","1999",22332.943,,
"IN01TE","1. Interest income","ALL","All banks","AUT","Austria","2000","2000",27412.702,,
"IN01TE","1. Interest income","ALL","All banks","AUT","Austria","2001","2001",26866.856,,
"IN01TE","1. Interest income","ALL","All banks","AUT","Austria","2002","2002",23521.58,,
"IN01TE","1. Interest income","ALL","All banks","AUT","Austria","2003","2003",20846,,
"IN01TE","1. Interest income","ALL","All banks","AUT","Austria","2004","2004",21219,,
"IN01TE","1. Interest income","ALL","All banks","AUT","Austria","2005","2005",23556,,
"IN01TE","1. Interest income","ALL","All banks","AUT","Austria","2006","2006",28802,,
"IN01TE","1. Interest income","ALL","All banks","AUT","Austria","2007","2007",37291,,
"IN01TE","1. Interest income","ALL","All banks","AUT","Austria","2008","2008",45735,,
"IN01TE","1. Interest income","ALL","All banks","BEL","Belgium","1999","1999",52169.315,,
"IN01TE","1. Interest income","ALL","All banks","BEL","Belgium","2000","2000",68628.477,,
"IN01TE","1. Interest income","ALL","All banks","BEL","Belgium","2001","2001",61352.495,,
"IN01TE","1. Interest income","ALL","All banks","BEL","Belgium","2002","2002",59712.614,,
"IN01TE","1. Interest income","ALL","All banks","BEL","Belgium","2003","2003",49250.504,,
"IN01TE","1. Interest income","ALL","All banks","BEL","Belgium","2004","2004",58051.179,,
"IN01TE","1. Interest income","ALL","All banks","BEL","Belgium","2005","2005",53596.202,,
"IN01TE","1. Interest income","ALL","All banks","BEL","Belgium","2006","2006",53925.872,,
"IN01TE","1. Interest income","ALL","All banks","BEL","Belgium","2007","2007",69845.652,,
"IN01TE","1. Interest income","ALL","All banks","BEL","Belgium","2008","2008",75503.051,,
"IN01TE","1. Interest income","ALL","All banks","BEL","Belgium","2009","2009",40528.807,,
"IN01TE","1. Interest income","ALL","All banks","CAN","Canada","1999","1999",88904,,
"IN01TE","1. Interest income","ALL","All banks","CAN","Canada","2000","2000",96254,,
"IN01TE","1. Interest income","ALL","All banks","CAN","Canada","2001","2001",96765,,
"IN01TE","1. Interest income","ALL","All banks","CAN","Canada","2002","2002",78095,,
"IN01TE","1. Interest income","ALL","All banks","CAN","Canada","2003","2003",76359,,
"IN01TE","1. Interest income","ALL","All banks","CAN","Canada","2004","2004",73850,,
"IN01TE","1. Interest income","ALL","All banks","CAN","Canada","2005","2005",84542,,
"IN01TE","1. Interest income","ALL","All banks","CAN","Canada","2006","2006",105184,,
"IN01TE","1. Interest income","ALL","All banks","CAN","Canada","2007","2007",124648,,
"IN01TE","1. Interest income","ALL","All banks","CAN","Canada","2008","2008",124454,,
"IN01TE","1. Interest income","ALL","All banks","CAN","Canada","2009","2009",102263,,
"IN01TE","1. Interest income","ALL","All banks","CZE","Czech Republic","1999","1999",159957.09,,
"IN01TE","1. Interest income","ALL","All banks","CZE","Czech Republic","2000","2000",127066.58,,
"IN01TE","1. Interest income","ALL","All banks","CZE","Czech Republic","2001","2001",114017.93,,
"IN01TE","1. Interest income","ALL","All banks","CZE","Czech Republic","2002","2002",122762.685,,
"IN01TE","1. Interest income","ALL","All banks","CZE","Czech Republic","2003","2003",99602.837,,
"IN01TE","1. Interest income","ALL","All banks","CZE","Czech Republic","2004","2004",103104.584,,
"IN01TE","1. Interest income","ALL","All banks","CZE","Czech Republic","2005","2005",107143.629,,
"IN01TE","1. Interest income","ALL","All banks","CZE","Czech Republic","2006","2006",124114.384,,
"IN01TE","1. Interest income","ALL","All banks","CZE","Czech Republic","2007","2007",156436.218,,
"IN01TE","1. Interest income","ALL","All banks","CZE","Czech Republic","2008","2008",191917.03,,
"IN01TE","1. Interest income","ALL","All banks","CZE","Czech Republic","2009","2009",174605.596,,
"IN01TE","1. Interest income","ALL","All banks","DNK","Denmark","1999","1999",74149,,
"IN01TE","1. Interest income","ALL","All banks","DNK","Denmark","2000","2000",93353,,
"IN01TE","1. Interest income","ALL","All banks","DNK","Denmark","2001","2001",98469,,
"IN01TE","1. Interest income","ALL","All banks","DNK","Denmark","2002","2002",84614.286,,
"IN01TE","1. Interest income","ALL","All banks","DNK","Denmark","2003","2003",76680.382,,
"IN01TE","1. Interest income","ALL","All banks","DNK","Denmark","2004","2004",77583.523,,
"IN01TE","1. Interest income","ALL","All banks","DNK","Denmark","2005","2005",96702.835,,
"IN01TE","1. Interest income","ALL","All banks","DNK","Denmark","2006","2006",121999.045,,
"IN01TE","1. Interest income","ALL","All banks","DNK","Denmark","2007","2007",170074.078,,
"IN01TE","1. Interest income","ALL","All banks","DNK","Denmark","2008","2008",204303.82,,
"IN01TE","1. Interest income","ALL","All banks","DNK","Denmark","2009","2009",145487.936,,
"IN01TE","1. Interest income","ALL","All banks","FIN","Finland","1999","1999",5280.19,,
"IN01TE","1. Interest income","ALL","All banks","FIN","Finland","2000","2000",6466.199,,
"IN01TE","1. Interest income","ALL","All banks","FIN","Finland","2001","2001",7196.204,,
"IN01TE","1. Interest income","ALL","All banks","FIN","Finland","2002","2002",5924.178,,
"IN01TE","1. Interest income","ALL","All banks","FIN","Finland","2003","2003",4974.45,,
"IN01TE","1. Interest income","ALL","All banks","FIN","Finland","2004","2004",5081.886,,
"IN01TE","1. Interest income","ALL","All banks","FIN","Finland","2005","2005",6335.291,,
"IN01TE","1. Interest income","ALL","All banks","FIN","Finland","2006","2006",8611.672,,
"IN01TE","1. Interest income","ALL","All banks","FIN","Finland","2007","2007",11655.541,,
"IN01TE","1. Interest income","ALL","All banks","FIN","Finland","2008","2008",14543.319,,
"IN01TE","1. Interest income","ALL","All banks","FIN","Finland","2009","2009",8243.279,,
"IN01TE","1. Interest income","ALL","All banks","FRA","France","1999","1999",186953.26,,
"IN01TE","1. Interest income","ALL","All banks","FRA","France","2000","2000",214092.69,,
"IN01TE","1. Interest income","ALL","All banks","FRA","France","2001","2001",217574,,
"IN01TE","1. Interest income","ALL","All banks","FRA","France","2002","2002",197574,,
"IN01TE","1. Interest income","ALL","All banks","FRA","France","2003","2003",173607,,
"IN01TE","1. Interest income","ALL","All banks","FRA","France","2004","2004",137585.329,,
"IN01TE","1. Interest income","ALL","All banks","FRA","France","2005","2005",158715.81,,
"IN01TE","1. Interest income","ALL","All banks","FRA","France","2006","2006",205176.033,,
"IN01TE","1. Interest income","ALL","All banks","FRA","France","2007","2007",270374.981,,
"IN01TE","1. Interest income","ALL","All banks","FRA","France","2008","2008",293674.051,,
"IN01TE","1. Interest income","ALL","All banks","FRA","France","2009","2009",203055.585,,
"IN01TE","1. Interest income","ALL","All banks","DEU","Germany","1999","1999",250171,,
"IN01TE","1. Interest income","ALL","All banks","DEU","Germany","2000","2000",295127,,
"IN01TE","1. Interest income","ALL","All banks","DEU","Germany","2001","2001",304001,,
"IN01TE","1. Interest income","ALL","All banks","DEU","Germany","2002","2002",270067,,
"IN01TE","1. Interest income","ALL","All banks","DEU","Germany","2003","2003",241314,,
"IN01TE","1. Interest income","ALL","All banks","DEU","Germany","2004","2004",233579,,
"IN01TE","1. Interest income","ALL","All banks","DEU","Germany","2005","2005",256932,,
"IN01TE","1. Interest income","ALL","All banks","DEU","Germany","2006","2006",279105,,
"IN01TE","1. Interest income","ALL","All banks","DEU","Germany","2007","2007",321070,,
"IN01TE","1. Interest income","ALL","All banks","DEU","Germany","2008","2008",327959,,
"IN01TE","1. Interest income","ALL","All banks","DEU","Germany","2009","2009",232155,,
